==========================================
SLURM_JOB_ID = 691528
SLURM_NODELIST = gnode061
SLURM_JOB_GPUS = 0,1,2,3
==========================================

Training config is located in `experiment_config.yaml`

Output directory:   /ssd_scratch/cvit/aditya1/stylegan-v/experiments/rainbow_processed_128_stylegan-v_random3_max32_rainbow_augsenabled-7870d59/output
Training data:      data/rainbow_processed_128
Training duration:  25000 kimg
Number of GPUs:     2
Number of videos:   34525
Image resolution:   128
Conditional model:  False
Dataset x-flips:    True

Creating output directory...
Launching processes...
Loading training set...

Num videos:  69050
Image shape: [3, 128, 128]
Label shape: [0]

Constructing networks...
Resuming from "/ssd_scratch/cvit/aditya1/stylegan-v/experiments/rainbow_processed_128_stylegan-v_random3_max32_rainbow_augsenabled-7870d59/output/network-snapshot-000000.pkl"
Setting up augmentation...
Distributing across 2 GPUs...
Setting up training phases...
Setting up PyTorch plugin "bias_act_plugin"... Done.
Setting up PyTorch plugin "upfirdn2d_plugin"... Done.
Initializing logs...
Training for 25000 kimg...

tick 46    kimg 231.9    time 39m 44s      sec/tick 51.1    sec/kimg 10.15   maintenance 0.0    cpumem 3.86   gpumem 6.11   augment 0.123
tick 47    kimg 237.0    time 40m 35s      sec/tick 51.2    sec/kimg 10.16   maintenance 0.0    cpumem 3.86   gpumem 6.11   augment 0.125
tick 48    kimg 242.0    time 41m 26s      sec/tick 51.2    sec/kimg 10.15   maintenance 0.0    cpumem 3.86   gpumem 6.10   augment 0.127
tick 49    kimg 247.1    time 42m 17s      sec/tick 50.9    sec/kimg 10.11   maintenance 0.0    cpumem 3.87   gpumem 6.11   augment 0.129
tick 50    kimg 252.1    time 43m 08s      sec/tick 51.0    sec/kimg 10.12   maintenance 0.0    cpumem 3.87   gpumem 6.10   augment 0.131
tick 51    kimg 257.1    time 44m 03s      sec/tick 50.6    sec/kimg 10.04   maintenance 4.5    cpumem 3.87   gpumem 6.82   augment 0.134
tick 52    kimg 262.2    time 44m 54s      sec/tick 51.3    sec/kimg 10.17   maintenance 0.1    cpumem 3.87   gpumem 6.11   augment 0.137
tick 53    kimg 267.2    time 45m 46s      sec/tick 51.1    sec/kimg 10.14   maintenance 0.0    cpumem 3.87   gpumem 6.10   augment 0.141
tick 54    kimg 272.3    time 46m 37s      sec/tick 51.4    sec/kimg 10.20   maintenance 0.0    cpumem 3.87   gpumem 6.10   augment 0.144
tick 55    kimg 277.3    time 47m 28s      sec/tick 51.4    sec/kimg 10.21   maintenance 0.0    cpumem 3.87   gpumem 6.09   augment 0.147
tick 56    kimg 282.3    time 48m 20s      sec/tick 51.4    sec/kimg 10.19   maintenance 0.1    cpumem 3.87   gpumem 6.10   augment 0.150
tick 57    kimg 287.4    time 49m 11s      sec/tick 51.5    sec/kimg 10.22   maintenance 0.0    cpumem 3.87   gpumem 6.10   augment 0.153
tick 58    kimg 292.4    time 50m 03s      sec/tick 51.6    sec/kimg 10.24   maintenance 0.0    cpumem 3.87   gpumem 6.10   augment 0.156
tick 59    kimg 297.5    time 50m 54s      sec/tick 51.3    sec/kimg 10.17   maintenance 0.0    cpumem 3.87   gpumem 6.11   augment 0.159
tick 60    kimg 302.5    time 51m 46s      sec/tick 51.2    sec/kimg 10.15   maintenance 0.0    cpumem 3.87   gpumem 6.11   augment 0.163
tick 61    kimg 307.5    time 52m 37s      sec/tick 51.2    sec/kimg 10.17   maintenance 0.0    cpumem 3.87   gpumem 6.10   augment 0.166
